comment:2nd row is default values: 3rd is axis number: 4th are motion inverval, motion steps, motion axes
0	0	80	-4	-80	4	0	0	0	0	0	0	-5	0
0	1	2	3	4	5	6	7	8	9	10	11	12	13
10	30	14
-10000	-10000	-69	-45	-58	-45	-10000	-10000	-10000	-10000	-10000	-10000	-10000	-10000
-10000	-10000	-69	-45	-58	-45	-10000	-10000	-10000	-10000	-10000	-10000	-10000	-10000
-10000	-10000	-69	-45	-58	-45	-10000	-10000	-10000	-10000	-10000	-10000	-10000	-10000
-10000	-10000	-69	-45	-58	-45	-10000	-10000	-10000	-10000	-10000	-10000	-10000	-10000
-10000	-10000	-69	-45	-10000	-45	-10000	-10000	-10000	-10000	-10000	-10000	-10000	-10000
-10000	-10000	-70	-45	-57	-45	-10000	-10000	-10000	-10000	-10000	-10000	-10000	-10000
-10000	-10000	-69	-45	-55	-45	-10000	-10000	-10000	-10000	-10000	-10000	-10000	-10000
-10000	-10000	-10000	-45	-54	-45	-10000	-10000	-10000	-10000	-10000	-10000	-10000	-10000
-10000	-10000	-68	-45	-52	-45	-10000	-10000	-10000	-10000	-10000	-10000	-10000	-10000
-10000	-10000	-66	-45	-51	-45	-10000	-10000	-10000	-10000	-10000	-10000	-10000	-10000
-10000	-10000	-63	-45	-49	-45	-10000	-10000	-10000	-10000	-10000	-10000	-10000	-10000
-10000	-10000	-60	-45	-48	-45	-10000	-10000	-10000	-10000	-10000	-10000	-10000	-10000
-10000	-10000	-57	-45	-47	-45	-10000	-10000	-10000	-10000	-10000	-10000	-10000	-10000
-10000	-10000	-54	-45	-45	-45	-10000	-10000	-10000	-10000	-10000	-10000	-10000	-10000
-10000	-10000	-51	-45	-44	-45	-10000	-10000	-10000	-10000	-10000	-10000	-10000	-10000
-10000	-10000	-48	-45	-42	-45	-10000	-10000	-10000	-10000	-10000	-10000	-10000	-10000
-10000	-10000	-44	-45	-41	-45	-10000	-10000	-10000	-10000	-10000	-10000	-10000	-10000
-10000	-10000	-40	-45	-40	-45	-10000	-10000	-10000	-10000	-10000	-10000	-10000	-10000
-10000	-10000	-37	-45	-39	-45	-10000	-10000	-10000	-10000	-10000	-10000	-10000	-10000
-10000	-10000	-34	-45	-38	-45	-10000	-10000	-10000	-10000	-10000	-10000	-10000	-10000
-10000	-10000	-33	-45	-37	-45	-10000	-10000	-10000	-10000	-10000	-10000	-10000	-10000
-10000	-10000	-32	-45	-36	-45	-10000	-10000	-10000	-10000	-10000	-10000	-10000	-10000
-10000	-10000	-31	-45	-36	-45	-10000	-10000	-10000	-10000	-10000	-10000	-10000	-10000
-10000	-10000	-10000	-45	-10000	-45	-10000	-10000	-10000	-10000	-10000	-10000	-10000	-10000
-10000	-10000	-32	-45	-37	-45	-10000	-10000	-10000	-10000	-10000	-10000	-10000	-10000
-10000	-10000	-33	-45	-38	-45	-10000	-10000	-10000	-10000	-10000	-10000	-10000	-10000
-10000	-10000	-34	-45	-39	-45	-10000	-10000	-10000	-10000	-10000	-10000	-10000	-10000
-10000	-10000	-35	-45	-40	-45	-10000	-10000	-10000	-10000	-10000	-10000	-10000	-10000
-10000	-10000	-36	-45	-40	-45	-10000	-10000	-10000	-10000	-10000	-10000	-10000	-10000
-10000	-10000	-38	-10000	-41	-10000	-10000	-10000	-10000	-10000	-10000	-10000	-10000	-10000
* 111 111 111 111 111 111 111 111 111 111 111 111 111 111
