#f0 [Hz]	periodicity (0~1)	power [dB]	sonorant power [dB]	high freq. power [dB]	 mid freq. power [dB]	low freq power [dB]	f0 after post-proc. [Hz]	f0 reliability code (0 ~ 13)	a1-a3 [dB]	f1f3syn (-1.0~1.0)	h1-a1 [dB]	breathpow [dB]	ips (-1.0~1.0)	h1-a3 [dB]	f0 after post-proc [semitone]	delta f0 [semitone]	vocal fry detection
74.07	0.464	25.18	21.28	22.86	22.49	-10000	-10000	1	-0.73	0.802	1.50	-63.73	-100.00	-3.22	-10000	-10000	
74.42	0.439	25.90	21.77	23.68	23.43	10.43	-10000	1	-4.75	0.593	5.12	-50.27	-100.00	-5.65	-10000	-10000	
50.00	0.855	25.39	20.87	23.42	22.70	-10000	-10000	1	-1.96	0.549	5.61	-49.22	-100.00	-1.96	-10000	-10000	
50.00	0.672	24.79	19.25	23.27	21.56	10.96	-10000	1	-2.36	0.597	8.13	-52.31	-100.00	-2.36	-10000	-10000	
50.63	0.958	23.97	17.53	22.76	20.10	8.77	-10000	1	-3.34	0.543	8.96	-51.59	-100.00	-3.34	-10000	-10000	
50.96	0.614	25.73	19.57	24.45	22.68	11.39	-10000	1	-3.36	0.535	8.65	-48.71	-100.00	-3.36	-10000	-10000	
49.38	0.955	26.52	21.10	25.00	24.63	-10000	-10000	1	-7.27	0.532	6.93	-46.65	-100.00	-7.27	-10000	-10000	
49.84	0.697	26.49	22.47	24.22	24.62	-10000	-10000	1	-7.54	0.483	5.63	-44.93	-100.00	-7.54	-10000	-10000	
50.79	0.864	26.61	23.49	23.64	24.82	-10000	-10000	1	-3.28	0.514	8.14	-45.80	-100.00	-3.28	-10000	-10000	
50.00	0.789	25.80	22.56	22.92	23.89	10.79	-10000	1	-3.11	0.517	5.87	-46.84	-100.00	-3.11	-10000	-10000	
50.63	0.849	24.87	22.59	20.86	23.39	-10000	-10000	1	-2.16	0.656	6.40	-53.23	-100.00	-2.16	-10000	-10000	
50.63	0.770	23.99	19.68	21.85	21.35	10.69	-10000	1	-2.40	0.512	9.35	-49.20	-100.00	-2.40	-10000	-10000	
49.84	0.853	23.81	19.80	21.50	21.44	10.51	-10000	1	-1.81	0.511	10.70	-49.07	-100.00	-1.81	-10000	-10000	
50.96	0.828	24.48	20.23	22.33	22.24	11.10	-10000	1	-4.31	0.574	5.24	-50.67	-100.00	-4.31	-10000	-10000	
49.84	0.853	24.02	20.16	21.60	21.32	10.90	-10000	1	-0.66	0.557	6.13	-50.91	-100.00	-0.66	-10000	-10000	
50.47	0.748	23.39	18.79	21.40	20.02	10.53	-10000	1	0.23	0.490	7.05	-49.76	-100.00	0.23	-10000	-10000	
50.16	0.930	23.51	19.84	20.94	21.10	9.51	-10000	1	-1.98	0.513	7.63	-49.48	-100.00	-1.98	-10000	-10000	
50.00	0.765	23.72	20.24	20.98	21.31	10.13	-10000	1	-3.00	0.543	3.75	-50.38	-100.00	-3.00	-10000	-10000	
50.79	0.838	22.87	19.11	20.38	20.08	10.11	-10000	1	0.36	0.464	6.78	-48.84	-100.00	0.36	-10000	-10000	
50.63	0.711	22.84	17.70	21.14	20.07	-10000	-10000	1	-1.00	0.505	7.46	-50.23	-100.00	-1.00	-10000	-10000	
50.79	0.930	22.72	18.28	20.66	20.34	8.60	-10000	1	-1.83	0.542	6.40	-51.31	-100.00	-1.83	-10000	-10000	
49.84	0.781	23.79	19.55	21.61	21.31	-10000	-10000	1	-5.16	0.601	5.36	-52.74	-100.00	-5.16	-10000	-10000	
50.79	0.918	22.90	17.93	21.10	19.76	12.24	-10000	1	-0.81	0.468	4.99	-49.29	-100.00	-0.81	-10000	-10000	
50.16	0.729	24.12	18.79	22.51	21.80	10.94	-10000	1	-2.11	0.593	8.14	-51.90	-100.00	-2.11	-10000	-10000	
49.84	0.816	23.98	20.14	21.55	22.38	-10000	-10000	1	-1.21	0.589	3.93	-51.15	-100.00	-1.21	-10000	-10000	
49.54	0.777	23.03	19.75	20.09	20.59	10.84	-10000	1	-0.02	0.522	4.20	-50.32	-100.00	-0.02	-10000	-10000	
49.54	0.784	22.79	19.29	20.07	20.38	10.43	-10000	1	0.63	0.668	5.61	-56.86	-100.00	0.63	-10000	-10000	
50.96	0.782	22.43	16.66	20.95	19.11	-10000	-10000	1	-1.41	0.383	3.76	-47.36	-100.00	-1.41	-10000	-10000	
50.63	0.816	21.56	16.55	19.75	19.10	-10000	-10000	1	-1.89	0.432	3.00	-48.81	-100.00	-1.89	-10000	-10000	
49.84	0.773	22.63	19.05	19.91	20.81	-10000	-10000	1	-3.02	0.575	6.52	-52.14	-100.00	-3.02	-10000	-10000	
51.28	0.772	22.92	20.28	19.34	21.24	-10000	-10000	1	-1.40	0.413	10.90	-46.10	-100.00	-1.40	-10000	-10000	
50.96	0.765	22.16	18.46	19.53	18.90	10.90	-10000	1	2.13	0.431	7.75	-48.98	-100.00	2.13	-10000	-10000	
51.12	0.842	21.55	17.64	19.10	18.26	11.32	-10000	1	6.30	0.502	10.58	-51.94	-100.00	6.30	-10000	-10000	
50.16	0.799	21.04	17.74	18.06	17.68	11.83	-10000	1	5.51	0.580	10.22	-55.48	-100.00	5.51	-10000	-10000	
49.54	0.838	20.51	15.62	18.60	15.59	10.15	-10000	1	5.89	0.539	8.66	-55.95	-100.00	5.89	-10000	-10000	
49.84	0.887	20.62	15.49	18.79	15.55	9.91	-10000	1	3.43	0.544	7.26	-56.18	-100.00	3.43	-10000	-10000	
50.79	0.844	20.19	15.20	18.28	15.89	9.78	-10000	1	4.80	0.563	8.62	-56.58	-100.00	4.80	-10000	-10000	
50.31	0.937	19.93	14.67	18.15	15.02	9.20	-10000	1	3.40	0.524	9.02	-55.96	-100.00	3.40	-10000	-10000	
50.16	0.823	19.78	13.99	18.17	14.45	9.92	-10000	1	5.01	0.520	9.94	-56.39	-100.00	5.01	-10000	-10000	
49.69	0.838	19.43	13.25	17.89	13.13	9.76	-10000	1	4.49	0.517	7.87	-57.60	-100.00	4.49	-10000	-10000	
51.45	0.875	19.14	13.43	17.47	15.25	-10000	-10000	1	2.98	0.671	4.86	-62.15	0.22	2.98	-10000	-10000	
50.00	0.808	19.02	12.84	17.53	12.74	9.53	-10000	1	4.41	0.468	7.61	-56.31	-100.00	4.41	-10000	-10000	
50.16	0.927	19.59	14.38	17.79	15.65	-10000	-10000	1	6.35	0.612	9.49	-58.88	-100.00	6.35	-10000	-10000	
50.63	0.811	19.74	13.81	18.19	13.18	10.52	-10000	1	5.92	0.454	9.61	-55.42	-100.00	5.92	-10000	-10000	
50.47	0.950	19.97	13.92	18.53	15.13	-10000	-10000	1	5.01	0.483	10.82	-54.42	-100.00	5.01	-10000	-10000	
50.47	0.823	18.93	13.62	17.06	13.04	9.41	-10000	1	4.77	0.478	8.28	-56.34	-100.00	4.77	-10000	-10000	
50.96	0.911	18.72	13.17	17.03	14.16	-10000	-10000	1	6.30	0.421	8.43	-53.42	-100.00	6.30	-10000	-10000	
50.79	0.765	19.44	13.87	17.69	14.32	10.13	-10000	1	3.32	0.533	8.11	-56.99	-100.00	3.32	-10000	-10000	
51.78	0.788	20.49	16.06	18.33	17.52	-10000	-10000	1	3.92	0.633	9.18	-57.98	-100.00	3.92	-10000	-10000	
50.63	0.784	22.16	18.49	19.57	18.43	12.78	-10000	1	5.95	0.567	7.35	-54.20	-100.00	5.95	-10000	-10000	
51.61	0.756	22.54	17.56	20.76	19.12	-10000	-10000	1	3.36	0.507	7.78	-51.25	-100.00	3.36	-10000	-10000	
50.47	0.698	23.79	19.94	21.30	21.61	-10000	-10000	1	2.94	0.596	-0.33	-52.22	-100.00	-5.34	-10000	-10000	
49.38	0.777	23.06	19.29	20.56	20.54	-10000	-10000	1	4.91	0.430	-3.30	-47.31	-100.00	-3.47	-10000	-10000	
49.84	0.751	23.02	19.80	20.00	20.39	-10000	-10000	1	5.50	0.550	-3.82	-51.57	-100.00	1.68	-10000	-10000	
51.12	0.710	22.80	18.23	20.79	19.70	-10000	-10000	1	2.08	0.442	-2.80	-48.52	-100.00	-0.72	-10000	-10000	
50.79	0.843	23.68	18.53	21.96	19.07	10.29	-10000	1	0.04	0.466	-0.85	-49.91	-100.00	-0.81	-10000	-10000	
50.79	0.768	23.99	18.21	22.53	19.21	10.24	-10000	1	1.23	0.539	-0.24	-52.33	-100.00	0.99	-10000	-10000	
50.16	0.856	23.76	18.19	22.22	18.79	10.44	-10000	1	0.98	0.397	-1.25	-48.08	-100.00	-0.27	-10000	-10000	
49.23	0.589	24.40	20.57	21.94	21.25	-10000	-10000	1	9.17	0.557	-7.45	-50.98	-100.00	1.72	-10000	-10000	
156.86	0.601	27.14	25.28	22.40	25.50	-10000	-10000	0	15.06	0.340	5.27	-39.80	-100.00	15.06	-10000	-10000	
148.15	0.887	33.58	33.26	21.97	27.83	31.86	150.87	13	20.52	0.560	2.53	-44.52	-100.00	20.52	50.47	-10000	
145.45	0.932	35.42	35.09	23.94	19.69	35.04	144.14	13	22.01	0.676	-4.08	-57.97	-100.00	17.93	49.68	-10000	
141.59	0.969	35.08	34.72	24.01	19.47	34.69	141.59	13	20.34	0.697	-5.19	-59.36	-100.00	15.15	49.37	-10000	
137.93	0.886	34.92	34.53	24.12	20.92	34.42	139.07	13	17.11	0.708	-8.14	-58.55	-100.00	8.97	49.06	-31.47	
136.75	0.857	35.39	34.81	26.33	23.38	34.59	136.68	13	15.73	0.695	-9.12	-55.33	-100.00	6.61	48.76	-25.12	
134.45	0.860	35.10	34.65	25.03	25.24	34.20	135.58	13	11.21	0.758	-7.88	-57.49	-100.00	3.33	48.62	-22.09	
133.33	0.929	35.23	34.93	23.30	26.69	34.33	133.33	13	10.36	0.725	-7.03	-53.82	-100.00	3.33	48.33	-20.57	
132.23	0.963	35.20	34.91	23.31	20.85	34.86	132.18	13	11.38	0.709	-6.40	-58.68	-100.00	4.98	48.18	-20.08	
130.08	0.956	35.06	34.69	24.08	20.47	34.67	131.12	13	11.08	0.731	-6.34	-60.42	-100.00	4.73	48.04	-20.64	
129.03	0.792	33.58	33.18	22.85	25.78	32.41	129.01	12	13.45	0.670	-6.56	-51.56	-100.00	6.89	47.76	-10000	
126.98	0.623	30.27	28.73	24.96	20.55	28.16	126.94	13	15.82	0.664	-6.45	-56.48	-100.00	9.37	47.48	-10000	
123.08	0.344	25.98	21.49	23.98	21.88	-10000	-10000	1	11.98	0.420	2.41	-45.67	-100.00	11.98	-10000	-10000	
-10000	-10000	22.95	19.42	20.17	20.07	-10000	-10000	1	10.12	0.661	3.80	-56.81	0.38	10.12	-10000	-10000	
52.46	0.563	20.41	14.43	18.87	13.59	11.29	-10000	1	5.42	0.496	1.71	-56.40	-100.00	5.42	-10000	-10000	
51.95	0.649	19.67	14.27	17.88	15.44	-10000	-10000	1	4.06	0.672	3.80	-62.01	-100.00	4.06	-10000	-10000	
-10000	-10000	19.90	13.76	18.39	13.92	9.76	-10000	1	4.46	0.318	5.69	-50.81	-100.00	4.46	-10000	-10000	
50.63	0.739	33.64	28.46	32.06	28.99	-10000	-10000	0	-0.92	0.808	-5.44	-57.76	-100.00	-7.47	-10000	-10000	
51.61	0.625	37.60	32.85	35.82	33.31	12.03	-10000	0	-11.78	0.635	-7.11	-42.28	0.28	-19.86	-10000	-10000	
51.45	0.875	41.03	36.22	39.28	37.13	-10000	-10000	0	-19.71	0.526	-0.33	-33.92	0.38	-20.88	-10000	-10000	
50.63	0.608	44.78	36.54	44.07	40.00	-10000	-10000	0	-22.37	0.460	2.98	-28.79	-100.00	-22.37	-10000	-10000	
52.63	0.736	47.82	36.39	47.50	42.35	-10000	-10000	5	-28.31	0.483	2.68	-27.20	-100.00	-28.31	-10000	-10000	
50.47	0.769	49.58	38.33	49.24	43.75	14.79	-10000	6	-30.80	0.607	5.32	-30.56	-100.00	-31.01	-10000	-10000	
51.12	0.785	48.61	34.73	48.43	40.28	15.32	-10000	6	-26.46	0.597	4.51	-33.59	-100.00	-26.46	-10000	-10000	
50.31	0.837	50.94	33.04	50.86	43.91	11.06	-10000	5	-28.00	0.519	5.34	-26.89	-100.00	-28.00	-10000	-10000	
50.79	0.851	51.24	27.39	51.23	41.57	10.59	-10000	0	-26.53	0.482	8.77	-27.94	-100.00	-26.53	-10000	-10000	
50.16	0.782	50.99	32.05	50.93	41.87	10.21	-10000	0	-25.23	0.479	8.83	-27.54	-100.00	-25.23	-10000	-10000	
50.63	0.946	50.36	36.66	50.17	42.35	9.05	-10000	0	-26.73	0.597	4.35	-31.52	-100.00	-26.73	-10000	-10000	
49.69	0.740	50.03	42.56	49.17	45.23	11.24	-10000	0	-32.53	0.558	5.03	-27.04	-100.00	-32.53	-10000	-10000	
51.28	0.929	47.75	39.26	47.08	41.98	-10000	-10000	0	-29.31	0.629	2.69	-33.33	-100.00	-29.31	-10000	-10000	
-10000	-10000	42.10	29.36	41.86	35.47	10.37	-10000	0	-18.27	0.358	10.29	-30.31	-100.00	-18.27	-10000	-10000	
150.94	0.533	34.89	27.05	34.10	30.89	-10000	-10000	0	-0.26	0.475	7.61	-38.39	-100.00	-0.26	-10000	-10000	
129.03	0.504	35.11	32.33	31.84	34.66	-10000	-10000	0	1.73	0.582	3.02	-38.58	-100.00	1.73	-10000	-10000	
121.21	0.775	31.76	30.33	26.21	29.10	27.40	-10000	5	4.97	0.530	-10000	-42.10	-100.00	4.97	-10000	-10000	
119.40	0.741	28.19	26.73	22.66	23.45	25.38	-10000	7	9.00	0.562	-10000	-48.98	-100.00	9.00	-10000	-10000	
118.52	0.884	28.28	27.53	20.05	20.82	26.72	-10000	6	12.59	0.599	-10000	-53.14	-100.00	12.59	-10000	-10000	
119.40	0.923	28.81	28.20	19.85	21.40	27.40	-10000	0	11.75	0.664	-10000	-55.63	-100.00	11.75	-10000	-10000	
117.65	0.825	28.48	27.96	18.78	20.47	27.20	231.87	12	10.23	0.605	-10000	-53.75	-100.00	10.23	57.91	-10000	
115.94	0.872	28.27	27.69	18.88	21.18	26.69	228.55	12	12.40	0.619	-10000	-53.67	-100.00	12.40	57.66	-10000	
115.11	0.892	28.51	27.76	20.40	16.69	27.53	228.55	12	14.37	0.503	-10000	-53.54	-100.00	14.37	57.66	-10000	
113.48	0.851	29.65	28.37	23.61	18.62	28.02	228.55	12	11.96	0.588	-10000	-54.87	0.39	11.96	57.66	-6.30	
112.68	0.883	28.63	28.13	18.76	16.26	27.92	225.27	12	13.94	0.497	-10000	-53.76	-100.00	13.94	57.41	0.99	
112.68	0.865	27.71	27.12	18.63	20.48	26.20	225.27	11	17.86	0.569	-10000	-52.23	-100.00	17.86	57.41	-0.21	
113.48	0.779	27.18	25.81	21.24	20.01	24.75	228.55	11	15.27	0.547	-10000	-51.83	-100.00	15.27	57.66	4.14	
113.48	0.840	28.21	26.29	23.65	15.90	26.18	231.87	12	13.19	0.461	-10000	-52.92	-100.00	13.19	57.91	5.32	
113.48	0.806	27.54	25.97	22.26	19.90	25.21	225.27	12	13.81	0.504	-10000	-50.37	-100.00	13.81	57.41	5.55	
113.48	0.815	27.59	26.14	21.93	22.27	24.66	231.87	12	8.20	0.491	-10000	-47.55	-100.00	8.20	57.91	0.78	
114.29	0.884	28.87	27.76	22.34	25.81	24.70	228.55	12	1.14	0.501	-10000	-44.35	-100.00	1.14	57.66	3.51	
114.29	0.781	30.61	28.12	26.97	28.69	24.42	231.87	12	2.35	0.579	-10000	-44.42	-100.00	2.35	57.91	8.24	
113.48	0.860	31.01	27.80	28.16	29.24	25.08	228.55	12	2.33	0.482	-10000	-40.27	-100.00	2.33	57.66	-10000	
113.48	0.798	27.63	25.65	23.20	24.15	23.89	235.25	12	5.89	0.576	-10000	-48.84	-100.00	5.89	58.16	-10000	
