#f0 [Hz]	periodicity (0~1)	power [dB]	sonorant power [dB]	high freq. power [dB]	 mid freq. power [dB]	low freq power [dB]	f0 after post-proc. [Hz]	f0 reliability code (0 ~ 13)	a1-a3 [dB]	f1f3syn (-1.0~1.0)	h1-a1 [dB]	breathpow [dB]	ips (-1.0~1.0)	h1-a3 [dB]	f0 after post-proc [semitone]	delta f0 [semitone]	vocal fry detection
108.84	0.626	33.24	31.87	27.54	32.25	-10000	-10000	0	10.20	0.729	-8.14	-47.35	-100.00	2.06	-10000	-10000	
110.34	0.798	35.85	34.85	28.99	27.38	34.66	-10000	6	8.65	0.640	-7.20	-47.28	-100.00	1.45	-10000	-10000	
111.89	0.775	37.98	35.11	34.82	36.74	25.08	-10000	6	2.82	0.733	-9.68	-43.11	-100.00	-6.86	-10000	-10000	
114.29	0.671	36.76	34.96	32.05	30.49	34.42	-10000	7	8.09	0.724	-11.55	-48.79	-100.00	-3.46	-10000	-10000	
114.29	0.391	33.03	29.95	30.08	31.18	-10000	-10000	0	1.66	0.629	-6.82	-42.96	-100.00	-5.16	-10000	-10000	
48.63	0.671	28.46	23.23	26.85	25.11	-10000	-10000	1	-1.83	0.554	0.55	-45.83	-100.00	-1.83	-10000	-10000	
50.63	0.679	23.39	17.84	21.88	15.47	15.82	-10000	1	8.88	0.397	9.16	-50.23	-100.00	8.88	-10000	-10000	
137.93	0.360	22.79	16.34	21.40	17.14	-10000	-10000	1	6.97	0.477	7.33	-51.03	-100.00	6.97	-10000	-10000	
50.63	1.073	20.82	15.26	19.26	16.35	-10000	-10000	1	3.56	0.558	6.21	-54.75	-100.00	3.56	-10000	-10000	
50.79	0.669	21.19	15.61	19.56	17.29	-10000	-10000	1	3.86	0.552	9.80	-53.57	-100.00	3.86	-10000	-10000	
-10000	-10000	20.79	14.71	19.40	16.60	-10000	-10000	1	3.35	0.359	8.11	-48.04	-100.00	3.35	-10000	-10000	
-10000	-10000	39.68	34.70	38.01	36.63	-10000	-10000	0	-2.66	0.764	-8.51	-45.37	-100.00	-18.06	-10000	-10000	
54.24	0.496	46.91	39.83	45.96	41.20	32.32	-10000	5	-1.36	0.689	-13.97	-36.00	-100.00	-23.36	-10000	-10000	
53.16	0.529	45.81	40.31	44.37	41.11	-10000	-10000	5	-7.63	0.559	-10.11	-30.03	-100.00	-24.50	-10000	-10000	
-10000	-10000	41.21	36.83	39.24	37.73	11.56	-10000	5	-5.18	0.453	-14.00	-29.67	-100.00	-22.87	-10000	-10000	
48.93	0.740	42.02	38.10	39.76	37.54	35.30	-10000	5	2.99	0.579	-18.09	-34.40	-100.00	-21.09	-10000	-10000	
137.93	0.540	43.00	38.93	40.83	40.61	19.44	-10000	0	3.09	0.503	-10.26	-28.45	-100.00	-11.78	-10000	-10000	
142.86	0.684	43.31	39.36	41.07	41.29	26.63	139.07	12	0.01	0.580	-2.80	-30.70	-100.00	-6.60	49.06	-10000	
146.79	0.834	44.21	41.93	40.32	38.51	41.33	144.14	12	6.27	0.622	2.03	-35.31	-100.00	-0.16	49.68	-10000	
150.94	0.843	45.27	41.31	43.03	41.01	40.58	149.49	12	0.84	0.582	5.04	-31.06	-100.00	-0.83	50.31	-10000	
156.86	0.872	45.70	40.76	44.02	42.19	39.71	156.83	12	-1.71	0.648	6.56	-32.86	-100.00	-1.71	51.14	56.61	
163.27	0.935	47.01	41.63	45.52	43.69	40.27	161.61	13	-0.94	0.602	5.48	-29.23	-100.00	-0.94	51.66	51.47	
164.95	0.981	47.31	42.53	45.55	44.81	41.56	166.63	12	0.45	0.690	5.78	-32.45	-100.00	0.45	52.19	44.55	
166.67	0.974	44.96	40.91	42.79	41.64	40.22	166.63	13	1.56	0.645	6.29	-33.27	-100.00	1.56	52.19	33.93	
168.42	0.893	42.03	37.54	40.13	36.77	36.90	170.13	12	2.62	0.640	7.66	-37.89	-100.00	2.62	52.55	-10000	
166.67	0.668	36.30	29.40	35.30	26.33	28.10	172.01	12	8.42	0.650	14.92	-48.82	-100.00	8.42	52.74	-10000	
155.34	0.683	25.63	23.50	21.33	17.53	22.80	-10000	1	13.40	0.470	16.65	-50.41	-100.00	13.40	-10000	-10000	
155.34	0.619	22.20	19.85	18.17	15.35	18.69	-10000	1	15.09	0.446	17.86	-51.82	-100.00	15.09	-10000	-10000	
146.79	0.433	20.75	16.96	18.02	17.76	-10000	-10000	1	7.76	0.483	12.62	-50.62	-100.00	7.76	-10000	-10000	
49.38	0.676	20.05	14.86	18.26	15.73	-10000	-10000	1	1.22	0.631	3.41	-58.50	-100.00	1.17	-10000	-10000	
50.16	0.660	18.92	12.35	17.48	13.03	5.65	-10000	1	-0.74	0.471	1.05	-54.95	-100.00	-0.86	-10000	-10000	
49.84	0.798	19.09	12.28	17.82	14.78	-10000	-10000	1	-3.98	0.433	-10000	-51.99	-100.00	-3.98	-10000	-10000	
-10000	-10000	26.44	17.82	25.76	22.80	7.73	-10000	1	-9.74	0.448	2.71	-44.44	-100.00	-9.74	-10000	-10000	
-10000	-10000	49.04	40.80	48.34	45.62	-10000	-10000	0	-14.66	0.757	-14.21	-35.87	-100.00	-28.87	-10000	-10000	
50.96	0.714	50.87	41.08	50.39	44.73	-10000	-10000	0	-13.80	0.723	-15.60	-34.49	-100.00	-29.40	-10000	-10000	
-10000	-10000	44.69	32.67	44.41	33.64	-10000	-10000	0	-17.43	0.408	-2.71	-32.38	-100.00	-22.02	-10000	-10000	
-10000	-10000	38.93	31.30	38.11	32.10	22.07	-10000	0	-1.40	0.430	-2.43	-34.58	-100.00	-3.83	-10000	-10000	
301.89	0.707	36.86	35.47	31.21	34.10	30.86	290.80	12	0.39	0.638	-10000	-40.47	-100.00	0.39	61.83	-10000	
313.73	0.779	38.50	36.96	33.24	36.21	32.50	313.65	12	3.97	0.547	-10000	-34.46	-100.00	3.97	63.14	-10000	
333.33	0.858	39.73	37.93	35.03	36.28	34.67	333.27	12	3.30	0.605	-10000	-36.77	-100.00	3.30	64.19	-10000	
