#f0 [Hz]	periodicity (0~1)	power [dB]	sonorant power [dB]	high freq. power [dB]	 mid freq. power [dB]	low freq power [dB]	f0 after post-proc. [Hz]	f0 reliability code (0 ~ 13)	a1-a3 [dB]	f1f3syn (-1.0~1.0)	h1-a1 [dB]	breathpow [dB]	ips (-1.0~1.0)	h1-a3 [dB]	f0 after post-proc [semitone]	delta f0 [semitone]	vocal fry detection
-10000	-10000	20.56	16.72	18.14	17.75	-10000	-10000	1	2.50	0.774	3.66	-66.79	-100.00	2.50	-10000	-10000	
54.42	0.561	20.60	15.89	18.64	15.56	11.63	-10000	1	6.14	0.586	7.48	-58.46	-100.00	6.14	-10000	-10000	
50.63	0.624	19.61	13.87	17.95	13.57	10.21	-10000	1	6.72	0.398	7.45	-53.95	-100.00	6.72	-10000	-10000	
50.16	1.013	19.99	13.50	18.71	15.08	-10000	-10000	1	6.08	0.634	10.40	-61.09	0.36	6.08	-10000	-10000	
68.67	0.433	20.00	13.86	18.55	13.91	10.92	-10000	1	5.94	0.621	7.75	-61.65	-100.00	5.94	-10000	-10000	
49.84	0.938	19.89	14.13	18.26	15.31	-10000	-10000	1	6.58	0.546	10.60	-57.11	-100.00	6.58	-10000	-10000	
50.00	0.720	19.56	13.79	17.90	12.76	10.27	-10000	1	6.95	0.519	9.28	-58.66	-100.00	6.95	-10000	-10000	
49.38	0.944	19.36	13.94	17.58	13.09	10.52	-10000	1	9.07	0.568	9.60	-60.20	-100.00	9.07	-10000	-10000	
70.18	0.535	19.99	14.71	18.17	13.92	11.09	-10000	1	8.35	0.556	9.84	-58.89	-100.00	8.35	-10000	-10000	
50.00	0.946	19.94	14.17	18.41	15.84	-10000	-10000	1	5.09	0.484	11.56	-54.36	-100.00	5.09	-10000	-10000	
49.84	0.604	22.78	14.94	21.89	17.09	11.02	-10000	1	1.18	0.450	9.48	-52.00	-100.00	1.18	-10000	-10000	
50.31	0.992	20.44	13.56	19.28	15.59	-10000	-10000	1	1.78	0.538	6.35	-56.53	-100.00	1.78	-10000	-10000	
49.84	0.674	19.61	13.84	17.92	14.18	9.49	-10000	1	1.07	0.522	7.45	-57.35	-100.00	1.07	-10000	-10000	
50.16	0.933	19.36	13.70	17.71	15.14	-10000	-10000	1	6.36	0.467	7.02	-54.50	-100.00	6.36	-10000	-10000	
49.84	0.669	19.73	14.53	17.86	14.66	10.51	-10000	1	3.62	0.552	5.96	-57.99	-100.00	3.62	-10000	-10000	
49.69	1.008	19.09	13.40	17.53	12.24	10.38	-10000	1	5.36	0.585	8.08	-61.74	-100.00	5.36	-10000	-10000	
